Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot38,"StalinGrad_TTV",normal,27,Failed,"The Blood of War - Part 1","Zone place_WARBLOOD_04_3","1","04:35:11","04:43:42",
Bot38,"StalinGrad_TTV",normal,27,Failed,"The Blood of War - Part 1","Zone place_WARBLOOD_04_1","1","04:43:48","04:48:57",
Bot38,"StalinGrad_TTV",normal,27,Active,"Database - Part 1","Item Goshan cargo manifests","1","04:49:02","N/A",
Bot34,"PlsNoHeadEyes",normal,17,Failed,"Database - Part 1","Item IDEA cargo manifests","1","04:35:11","04:36:01",
Bot34,"PlsNoHeadEyes",normal,17,Failed,"Database - Part 1","Item Goshan cargo manifests","1","04:36:06","04:37:00",
Bot34,"PlsNoHeadEyes",normal,17,Active,"Database - Part 1","Item OLI cargo manifests","1","04:37:05","N/A",
Bot35,"heisenberg_blue",normal,31,Failed,"Vitamins - Part 1","Item Chemical container #3","1","04:35:12","04:38:10",
Bot35,"heisenberg_blue",normal,31,Failed,"Vitamins - Part 1","Item Chemical container #2","1","04:38:15","04:38:50",
Bot35,"heisenberg_blue",normal,31,Failed,"KIBA","KIBA: Objective #1","1","04:38:55","04:39:17",
Bot35,"heisenberg_blue",normal,31,Failed,"Boss Hunter","Spawn Point (-158.6 27.1 -84.1)","1","04:39:22","04:39:55",
Bot35,"heisenberg_blue",normal,31,Failed,"Boss Hunter","Spawn Point (-69.6 27.2 -99.7)","1","04:40:00","04:40:17",
Bot35,"heisenberg_blue",normal,31,Failed,"Boss Hunter","Spawn Point (-70.0 27.2 -27.9)","1","04:40:22","04:40:52",
Bot35,"heisenberg_blue",normal,31,Failed,"Boss Hunter","Spawn Point (-69.9 27.2 -26.6)","1","04:40:57","04:41:15",
Bot35,"heisenberg_blue",normal,31,Failed,"Boss Hunter","Spawn Point (-157.4 27.1 -72.7)","1","04:41:20","04:41:36",
Bot37,"dobriyvecher173",easy,31,Failed,"Minibus","Zone place_merch_21_1","1","04:35:12","04:36:08",
Bot37,"dobriyvecher173",easy,31,Failed,"Minibus","Zone place_merch_21_3","1","04:36:13","04:39:23",
Bot37,"dobriyvecher173",easy,31,Failed,"Minibus","Zone place_merch_21_2","1","04:39:28","04:43:34",
Bot37,"dobriyvecher173",easy,31,Completed,"Chumming","Zone place_skier_12_1","2","04:43:39","04:47:22",
Bot37,"dobriyvecher173",easy,31,Completed,"Database - Part 1","Item OLI cargo manifests","1","04:47:27","04:48:55",
Bot37,"dobriyvecher173",easy,31,Active,"Database - Part 1","Item Goshan cargo manifests","1","04:49:00","N/A",
Bot40,"Mark1502",normal,24,Pending,"Informed Means Armed","Zone place_skier_11_3","1","04:35:12","N/A",
Bot39,"AquaFPS",normal,16,Pending,"The Blood of War - Part 1","Zone place_WARBLOOD_04_3","1","04:35:12","N/A",
Bot36,"VladimirLootin",easy,11,Completed,"Railway Area","Railway Area: Objective #1","1","04:35:12","04:35:35",
Bot36,"VladimirLootin",easy,11,Completed,"Railway Area","Railway Area: Objective #2","1","04:35:40","04:36:01",
Bot36,"VladimirLootin",easy,11,Completed,"Railway Area","Railway Area: Objective #3","1","04:36:06","04:36:18",
Bot36,"VladimirLootin",easy,11,Completed,"Railway Area","Railway Area: Objective #4","1","04:36:23","04:36:38",
Bot36,"VladimirLootin",easy,11,Completed,"North Construction Site","North Construction Site: Objective #3","1","04:36:43","04:38:33",
Bot36,"VladimirLootin",easy,11,Completed,"North Construction Site","North Construction Site: Objective #1","1","04:38:38","04:38:43",
Bot36,"VladimirLootin",easy,11,Completed,"North Construction Site","North Construction Site: Objective #2","1","04:38:48","04:38:51",
Bot36,"VladimirLootin",easy,11,Failed,"IDEA Office","IDEA Office: Objective #1","1","04:38:56","04:42:33",
Bot41,"BrestMilkBandit",normal,44,Failed,"Provocation","Zone quest_zone_keeper6_cont_hide","1","04:35:13","04:37:13",
Bot41,"BrestMilkBandit",normal,44,Failed,"Provocation","Zone quest_zone_keeper6_safe_hide","1","04:37:14","04:37:20",
[Not Spawned],"Yurian",hard,23,,,,,,,
[Not Spawned],"lSektantl",easy,38,,,,,,,
[Not Spawned],"FG_Knodel",hard,42,,,,,,,
[Not Spawned],"Ваха Фургон (DrLupo)",normal,1,,,,,,,
[Not Spawned],"Савелий Годзилыч (MexicanDjango)",easy,1,,,,,,,
[Not Spawned],"Сашок Снайпер (V0D0LAZ)",easy,1,,,,,,,
[Not Spawned],"Заур Крутой (Dagebieshawo-KF)",easy,1,,,,,,,
[Not Spawned],"Ростя Бух (Brehze)",normal,1,,,,,,,
[Not Spawned],"Кабан Генерал (WheresCumSock)",normal,1,,,,,,,
[Not Spawned],"Ярослав Зебра (waffle.lord)",hard,1,,,,,,,
[Not Spawned],"Володя Фторопласт (Blue-giant)",easy,1,,,,,,,
[Not Spawned],"Авксентий Дотер (Fershte)",normal,1,,,,,,,
[Not Spawned],"Микола Огрызок (SOGDOGCURRY)",easy,1,,,,,,,
[Not Spawned],"Юстин Котовод (Kamikadzi)",normal,1,,,,,,,
[Not Spawned],"Кирилл Морковник (MindBuggle)",easy,1,,,,,,,
[Not Spawned],"Тимурка Шульц (roYec)",normal,1,,,,,,,
[Not Spawned],"Толя Полторашка (Henno)",normal,1,,,,,,,
[Not Spawned],"Протасий Нервный (SussyBaka)",easy,1,,,,,,,
[Not Spawned],"Илюха Сизый (Bez__Obid)",normal,1,,,,,,,
[Not Spawned],"Самуил Дробаш (KpucTu_YouTube)",hard,1,,,,,,,
[Not Spawned],"Архипп Программист (LeafAutumn)",hard,1,,,,,,,
[Not Spawned],"Женя Кочерга (HelicopterDix69)",normal,1,,,,,,,
[Not Spawned],"Вадимка Мочалка (MaKAYIKKUKU)",easy,1,,,,,,,
[Not Spawned],"Кися Наушник (LogitechGODS)",easy,1,,,,,,,
